Date,Time,Monkey,Panel,Sess Time,Trial,Trial Time,"code (0 grid touch, 1 large pix touch, 2 failed trial)",Latency to grid touch,Grid Choice,Category,Picture,Switch?,Switch count,Left categ,Left picture,Right categ,Right picture,Correct Trials,Failed Trials,% Failed,% success,Correct Trials Left,Correct Trials Right,% left choice,% right choice,record number
2016_04_12_1_08_PM,41010.50602,30606,0,21947,1,15000,2,15000,99,,,,0,Aggressive,AGG3.JPG,Cynomolgus,CYN2.JPG,0,1,100,0,0,0,NaN,NaN,1
2016_04_12_1_09_PM,41010.50673,30606,0,82947,2,15000,2,15000,99,,,,0,Aggressive,AGG6.JPG,Cynomolgus,CYN3.JPG,0,2,100,0,0,0,NaN,NaN,2
2016_04_12_1_10_PM,41010.50743,30606,0,143947,3,15000,2,15000,99,,,,0,Aggressive,AGG2.JPG,Cynomolgus,CYN5.JPG,0,3,100,0,0,0,NaN,NaN,3
2016_04_12_1_11_PM,41010.50814,30606,0,204947,4,15000,2,15000,99,,,,0,Aggressive,AGG4.JPG,Cynomolgus,CYN6.JPG,0,4,100,0,0,0,NaN,NaN,4
2016_04_12_1_12_PM,41010.50884,30606,0,265947,5,15000,2,15000,99,,,,0,Aggressive,AGG5.JPG,Cynomolgus,CYN1.JPG,0,5,100,0,0,0,NaN,NaN,5
2016_04_12_1_13_PM,41010.50955,30606,0,326947,6,15000,2,15000,99,,,,0,Aggressive,AGG1.JPG,Cynomolgus,CYN4.JPG,0,6,100,0,0,0,NaN,NaN,6
2016_04_12_1_14_PM,41010.51026,30606,0,387947,7,15000,2,15000,99,,,,0,Nature,NAT1.JPG,Cynomolgus,CYN1.JPG,0,7,100,0,0,0,NaN,NaN,7
2016_04_12_1_15_PM,41010.51096,30606,0,448947,8,15000,2,15000,99,,,,0,Nature,NAT4.JPG,Cynomolgus,CYN3.JPG,0,8,100,0,0,0,NaN,NaN,8
2016_04_12_1_16_PM,41010.51167,30606,0,509947,9,15000,2,15000,99,,,,0,Nature,NAT5.JPG,Cynomolgus,CYN4.JPG,0,9,100,0,0,0,NaN,NaN,9
2016_04_12_1_17_PM,41010.51238,30606,0,570947,10,15000,2,15000,99,,,,0,Nature,NAT6.JPG,Cynomolgus,CYN2.JPG,0,10,100,0,0,0,NaN,NaN,10
2016_04_12_1_18_PM,41010.51291,30606,0,616947,11,0,0,0,0,Nature,NAT3.JPG,,0,Nature,NAT3.JPG,Cynomolgus,CYN6.JPG,1,10,91,9,1,0,100,0,11
2016_04_12_1_19_PM,41010.51379,30606,0,692947,12,15000,2,15000,99,,,,0,Nature,NAT2.JPG,Cynomolgus,CYN5.JPG,1,11,92,8,1,0,100,0,12
2016_04_12_1_20_PM,41010.51449,30606,0,753947,13,15000,2,15000,99,,,,0,Cynomolgus,CYN1.JPG,Affiliative,AFF4.JPG,1,12,92,8,1,0,100,0,13
2016_04_12_1_21_PM,41010.5152,30606,0,814947,14,15000,2,15000,99,,,,0,Cynomolgus,CYN5.JPG,Affiliative,AFF3.JPG,1,13,93,7,1,0,100,0,14
2016_04_12_1_22_PM,41010.51591,30606,0,875947,15,15000,2,15000,99,,,,0,Cynomolgus,CYN6.JPG,Affiliative,AFF1.JPG,1,14,93,7,1,0,100,0,15
2016_04_12_1_23_PM,41010.51661,30606,0,936947,16,15000,2,15000,99,,,,0,Cynomolgus,CYN3.JPG,Affiliative,AFF6.JPG,1,15,94,6,1,0,100,0,16
2016_04_12_1_24_PM,41010.51732,30606,0,997947,17,15000,2,15000,99,,,,0,Cynomolgus,CYN4.JPG,Affiliative,AFF5.JPG,1,16,94,6,1,0,100,0,17
2016_04_12_1_25_PM,41010.51802,30606,0,1058947,18,15000,2,15000,99,,,,0,Cynomolgus,CYN2.JPG,Affiliative,AFF2.JPG,1,17,94,6,1,0,100,0,18
2016_04_12_1_27_PM,41010.5188,30606,0,1125947,19,15000,2,15000,99,,,,0,Affiliative,AFF5.JPG,Nature,NAT5.JPG,1,18,95,5,1,0,100,0,19
2016_04_12_1_28_PM,41010.5195,30606,0,1186947,20,15000,2,15000,99,,,,0,Affiliative,AFF2.JPG,Nature,NAT1.JPG,1,19,95,5,1,0,100,0,20
2016_04_12_1_29_PM,41010.52021,30606,0,1247947,21,15000,2,15000,99,,,,0,Affiliative,AFF6.JPG,Nature,NAT2.JPG,1,20,95,5,1,0,100,0,21
