Date	Time	Monkey	Panel	Sess Time	Trial	Trial Time	code (0 grid touch, 1 large pix touch, 2 failed trial)	Latency to grid touch	Grid Choice	Category	Picture	Switch?	Switch count	Left categ	Left picture	Right categ	Right picture	Correct Trials	Failed Trials	% Failed	% success	Correct Trials Left	Correct Trials Right	% left choice	% right choice	record number
2016_11_18_1_12_PM	41230.5505376968	35385	6	36577	1	30000	2	30000	99				0	Aggressive	AGG2.JPG	Affiliative	AFF4.JPG	0	1	100	0	0	0	NaN	NaN	1
2016_11_18_1_14_PM	41230.5514173304	35385	6	112577	2	30000	2	30000	99				0	Aggressive	AGG5.JPG	Affiliative	AFF2.JPG	0	2	100	0	0	0	NaN	NaN	2
2016_11_18_1_15_PM	41230.5522969641	35385	6	188577	3	30000	2	30000	99				0	Aggressive	AGG1.JPG	Affiliative	AFF6.JPG	0	3	100	0	0	0	NaN	NaN	3
2016_11_18_1_16_PM	41230.5531765746	35385	6	264576	4	30000	2	30000	99				0	Aggressive	AGG3.JPG	Affiliative	AFF5.JPG	0	4	100	0	0	0	NaN	NaN	4
2016_11_18_1_17_PM	41230.5540562082	35385	6	340576	5	30000	2	30000	99				0	Aggressive	AGG6.JPG	Affiliative	AFF1.JPG	0	5	100	0	0	0	NaN	NaN	5
2016_11_18_1_19_PM	41230.5549358303	35385	6	416576	6	30000	2	30000	99				0	Aggressive	AGG4.JPG	Affiliative	AFF3.JPG	0	6	100	0	0	0	NaN	NaN	6
2016_11_18_1_20_PM	41230.5558154755	35385	6	492577	7	30000	2	30000	99				0	Lab	LAB3.JPG	Nature	NAT4.JPG	0	7	100	0	0	0	NaN	NaN	7
2016_11_18_1_21_PM	41230.5566950976	35385	6	568576	8	30000	2	30000	99				0	Lab	LAB2.JPG	Nature	NAT3.JPG	0	8	100	0	0	0	NaN	NaN	8
2016_11_18_1_22_PM	41230.5575747196	35385	6	644576	9	30000	2	30000	99				0	Lab	LAB5.JPG	Nature	NAT1.JPG	0	9	100	0	0	0	NaN	NaN	9
2016_11_18_1_24_PM	41230.5584543533	35385	6	720576	10	30000	2	30000	99				0	Lab	LAB6.JPG	Nature	NAT5.JPG	0	10	100	0	0	0	NaN	NaN	10
